Image,Question,Answer,,,,,
Image_86.jpg,Can he make a phone call?,Yes he makes a phone call.,,,,,
Image_86.jpg,In what manner does he feel on call?,He feels joyful and engaged.,,,,,
Image_87.jpg,What mood does she carry during work?,She carries a focused mood.,,,,,
Image_87.jpg,What task engages her focus?,She concentrates on laptop.,,,,,
Image_90.jpg,Does she participate in a phone call?,"Yes, she participates in a call.",,,,,
Image_90.jpg,How does she feel during her call?,She feels cheerful and lively.,,,,,
Image_96.jpg,How does he use his laptop?,He uses a laptop while on the phone call.,,,,,
Image_96.jpg,In what manner does he feel using it?,He feels relaxed and content.,,,,,
Image_98.jpg,Can she sip wine?,"Yes, she sips a glass of wine.",,,,,
Image_98.jpg,What emotion does she show while drinking?,She shows a sad emotion.,,,,,
Image_99.jpg,What is he doing out there?,He is thinking about the phone call.,,,,,
Image_99.jpg,What feeling arises while checking?,A serious feeling arises.,,,,,
Image_102.jpg,What mood does he display during selfie?,He displays a playful mood.,,,,,
Image_102.jpg,How does he take a phone selfie?,He takes a phone selfie.,,,,,
Image_103.jpg,What activity engages him?,He enjoys using smartphone.,,,,,
Image_103.jpg,How does he feel while checking?,He feels joyful and content.,,,,,
Image_104.jpg,What task occupies her?,She focuses on smartphone.,,,,,
Image_104.jpg,What mood does she show using it?,She shows a focused mood.,,,,,
Image_110.jpg,What task does she perform?,She handles customer calls.,,,,,
Image_110.jpg,In what manner does she feel on call?,She feels cheerful and engaged.,,,,,
Image_112.jpg,Can he listen to music with headphones?,"Yes, he listens to music.",,,,,
Image_112.jpg,What feeling does he show while listening?,He enjoys music when listening.,,,,,
Image_120.jpg,What is he doing?,He listens to music.,,,,,
Image_120.jpg,Does he seem calm while listening?,"Yes, he seems calm.",,,,,
Image_121.jpg,How does she feel while checking?,She feels focused and attentive.,,,,,
Image_121.jpg,What does she hold?,She grips a phone.,,,,,
Image_138.jpg,How does she use her phone?,She uses her phone.,,,,,
Image_138.jpg,What does she do cheerfully?,She smiles using smartphone.,,,,,
Image_142.jpg,How does he drink his beer?,He enjoys drinking his beer.,,,,,
Image_142.jpg,What emotion does he show?,He displays a joyful grin.,,,,,
Image_147.jpg,Can she listen to music with headphones?,Yes she listens to music,,,,,
Image_147.jpg,What feeling does she show while listening?,She shows a peaceful feeling.,,,,,
Image_150.jpg,How does he make a phone call?,He makes a phone call.,,,,,
Image_150.jpg,What emotion does he show?,He expresses frustration on call.,,,,,
Image_152.jpg,Does she work on a laptop?,"Yes, she works on a laptop.",,,,,
Image_152.jpg,How does she feel while working?,She feels focused and attentive.,,,,,
Image_153.jpg,What is he drinking?,He sips a cup of tea.,,,,,
Image_153.jpg,In what manner does he feel while sipping?,He feels relaxed and content.,,,,,
Image_163.jpg,Does she check her phone?,"Yes, she checks her phone.",,,,,
Image_163.jpg,What mood does she show while checking?,She shows a dreamy mood.,,,,,
Image_164.jpg,She shows a dreamy mood.,She drinks her water.,,,,,
Image_164.jpg,What feeling does she exhibit while drinking?,She exhibits a calm feeling.,,,,,
Image_167.jpg,Can he make a phone call?,"Yes, he makes a phone call.",,,,,
Image_167.jpg,How does he feel during his call?,He feels relaxed and engaged.,,,,,
Image_190.jpg,How does she use her phone?,She uses her phone.,,,,,
Image_190.jpg,In what manner does she feel using it?,She feels thoughtful and focused.,,,,,
Image_193.jpg,What expression does she show?,She shows a surprised happy look.,,,,,
Image_193.jpg,Does she operate a laptop?,"Yes, she operates a laptop.",,,,,
Image_199.jpg,What is he drinking?,He drinks beer from a bottle.,,,,,
Image_199.jpg,Does he seem content while drinking?,"Yes, he seems content.",,,,,
Image_203.jpg,What game does he play?,He plays game on device.,,,,,
Image_203.jpg,What mood does he carry while playing?,He carries a happy mood while playing.,,,,,
Image_207.jpg,How does she sip her tea?,She sips her tea.,,,,,
Image_207.jpg,In what manner does she feel while sipping?,She feels elegant and calm.,,,,,
Image_212.jpg,Is he playing a game on a laptop?,"No, he works on a laptop.",,,,,
Image_212.jpg,To what extent does he feel focused?,He feels highly focused,,,,,
Image_217.jpg,How does she give a thumbs up?,She gives two thumbs up.,,,,,
Image_217.jpg,With what intensity does she feel happy?,She feels very happy.,,,,,
Image_219.jpg,How does she drink water?,She drinks with a focused gaze.,,,,,
Image_219.jpg,How does she feel during her drink?,She feels calm and refreshed.,,,,,
Image_236.jpg,What is he looking at?,He looks at laptop screen.,,,,,
Image_236.jpg,In what manner does he feel focused?,He feels focused and attentive.,,,,,
Image_244.jpg,How does he drink his beer?,He drinks his beer.,,,,,
Image_244.jpg,Under what condition does he feel joyful?,He feels joyful while celebrating.,,,,,
Image_251.jpg,Does he check his phone?,"Yes, he checks his phone.",,,,,
Image_251.jpg,To what extent does he feel engaged?,He feels moderately engaged.,,,,,
Image_264.jpg,How does he use a laptop?,He uses a laptop.,,,,,
Image_264.jpg,What mood does he show while using it?,He shows a happy mood.,,,,,
Image_274.jpg,Through what means does he drink water?,He drinks with a bottle.,,,,,
Image_274.jpg,How does he feel while drinking?,He feels refreshed and content.,,,,,
Image_279.jpg,Is he watching videos on a laptop?,"No, he works on a laptop.",,,,,
Image_279.jpg,With what intensity does he feel focused?,He feels intensely focused.,,,,,
Image_281.jpg,Can he listen to music with headphones?,"Yes, he listens to music.",,,,,
Image_281.jpg,In what manner does he feel relaxed?,He feels relaxed and calm.,,,,,
Image_290.jpg,Is he making a phone call?,"Yes, he makes a phone call.",,,,,
Image_290.jpg,What gesture does he show?,He smiles while on phone.,,,,,
Image_313.jpg,What emotion fills his face?,He displays a joyful expression.,,,,,
Image_313.jpg,What activity is he enjoying?,He enjoys music with headphones.,,,,,
Image_314.jpg,Is she talking on the phone?,"Yes, she talks on the phone.",,,,,
Image_314.jpg,In what manner does she feel engaged?,She feels engaged and cheerful.,,,,,
Image_318.jpg,How does she check her phone?,She checks her phone.,,,,,
Image_318.jpg,Under what condition does she feel focused?,She feels focused while traveling.,,,,,
Image_319.jpg,Is she using her phone for music?,"No, she talks on the phone.",,,,,
Image_319.jpg,How does she feel during her call?,She feels relaxed and content.,,,,,
Image_320.jpg,How does he make a phone call?,He makes a phone call.,,,,,
Image_320.jpg,What call does he make?,He makes a cheerful phone call.,,,,,
Image_321.jpg,Is she checking messages on her phone?,"No, she checks her phone.",,,,,
Image_321.jpg,To what extent does she feel focused?,She feels moderately focused.,,,,,
Image_326.jpg,What backdrop is visible?,A bridge looms over river.,,,,,
Image_326.jpg,Is he standing while making a phone call?,"Yes, he is standing while making a phone call.",,,,,
Image_329.jpg,How does he check his phone?,"Yes, he wears a black hat.",,,,,
Image_329.jpg,In what manner does he feel engaged?,He feels engaged and attentive.,,,,,
Image_331.jpg,How does she gesture with her phone?,She gestures with her phone.,,,,,
Image_331.jpg,How does she feel while gesturing?,She feels excited and joyful.,,,,,
Image_354.jpg,How does he drink his beverage?,He sips a coffee from a mug.,,,,,
Image_354.jpg,To what extent does he feel relaxed?,He feels very relaxed and enjoy.,,,,,
Image_355.jpg,Is she drinking water at the beach?,"Yes, she drinks water.",,,,,
Image_355.jpg,In what manner does she feel refreshed?,She feels refreshed and calm.,,,,,
Image_369.jpg,Is she holding a cup while listening?,"Yes, she holds a cup while listening.",,,,,
Image_369.jpg,How does she feel while listening?,She feels thoughtful and calm.,,,,,
Image_370.jpg,Is he writing a letter on the phone?,"No, he talks on the phone.",,,,,
Image_370.jpg,What mood does he show while talking?,He shows a happy mood.,,,,,
Image_372.jpg,How does she give a thumbs up?,She gives a thumbs up while the phone call.,,,,,
Image_372.jpg,With what intensity does she feel happy?,She feels intensely happy.,,,,,
Image_373.jpg,Is she sitting while listening to music?,"Yes, she is sitting while enjoying the music.",,,,,
Image_373.jpg,Under what condition does she feel focused?,She feels focused while using.,,,,,
Image_375.jpg,How does he use a laptop?,He uses a laptop while listening to music.,,,,,
Image_375.jpg,To what extent does he feel relaxed?,He feels moderately relaxed.,,,,,
Image_378.jpg,Is he typing on laptop?,"No, he is reaching for the phone.",,,,,
Image_378.jpg,In what manner does he feel engaged?,He feels engaged and attentive.,,,,,
Image_384.jpg,Is she using a phone?,"Yes, she holds a phone tightly.",,,,,
Image_384.jpg,With what intensity does she feel focused?,She feels slightly focused.,,,,,
Image_392.jpg,Is he drinking orange juice?,"Yes, he drinks orange juice.",,,,,
Image_392.jpg,How does he feel while drinking?,He feels content and refreshed.,,,,,
Image_403.jpg,How does he play on his phone?,He plays on his phone.,,,,,
Image_403.jpg,To what extent does he feel engaged?,He feels very engaged.,,,,,
Image_409.jpg,Is she making a phone call?,"Yes, she makes a phone call.",,,,,
Image_409.jpg,With what intensity does she feel happy?,She feels intensely happy.,,,,,
Image_417.jpg,Is she using a laptop?,"Yes, she types on a laptop.",,,,,
Image_417.jpg,In what manner does she feel surprised?,She feels surprised and curious.,,,,,
Image_421.jpg,Is he drinking milk?,"Yes, he drinks milk.",,,,,
Image_421.jpg,How does he feel while drinking?,He feels content and focused.,,,,,
Image_458.jpg,How does she work on a laptop?,She works on a laptop.,,,,,
Image_458.jpg,Under what condition does she feel focused?,She feels focused while sitting.,,,,,
Image_468.jpg,Is he holding a tablet while thinking?,"No, he uses a laptop while thinking.",,,,,
Image_468.jpg,To what extent does he feel thoughtful?,He feels very thoughtful.,,,,,
Image_469.jpg,How does she use a laptop in a lab?,She uses a laptop in a lab.,,,,,
Image_469.jpg,Is she focused on work?,"Yes, she types with focus.",,,,,
Image_472.jpg,What is he doing happily?,He smiles using a laptop.,,,,,
Image_472.jpg,Is he playing a game on a laptop?,"Yes, he plays on a laptop.",,,,,
Image_474.jpg,Is he using a laptop?,"No, he is using smartphone for playing games.",,,,,
Image_474.jpg,How does he feel while playing?,He feels focused and attentive.,,,,,
Image_492.jpg,Is he listening to music on a laptop?,"Yes, he listens to music on a laptop.",,,,,
Image_492.jpg,To what extent does he feel relaxed?,He feels very relaxed.,,,,,
Image_499.jpg,What activity is he performing on the tablet?,He works on the tablet.,,,,,
Image_499.jpg,To what extent does he feel focused?,He feels very happy with his work.,,,,,
Image_508.jpg,Is she working on laptop?,"Yes, she works on a laptop.",,,,,
Image_508.jpg,How does her mood appear while typing?,Her mood appears very calm,,,,,
Image_515.jpg,Is she writing or typing?,She writes on paper,,,,,
Image_515.jpg,In what manner does she feel happy?,She feels happy and content.,,,,,
Image_516.jpg,What is he doing in this picture?,He has a phone call with his partner.,,,,,
Image_516.jpg,What emotion does he express during work,He seems moderately engaged.,,,,,
Image_529.jpg,What activity is he enjoying with headphones?,He listens to music.,,,,,
Image_529.jpg,To what extent does he appear joyful?,He appears very joyful.,,,,,
Image_530.jpg,Is he taking a selfie while listening?,"No, he listens to music.",,,,,
Image_530.jpg,With what intensity does his mood seem happy?,His mood seems intensely happy.,,,,,
Image_535.jpg,What activity is she performing on the phone?,She listens to music.,,,,,
Image_535.jpg,How does she appear while listening?,She appears calm and engaged.,,,,,
Image_538.jpg,Is he calling a friend on the phone?,"Yes, he calls on the phone.",,,,,
Image_538.jpg,To what degree does he seem engaged?,He seems happy while calling.,,,,,
Image_539.jpg,What is he doing?,He dances while listening music.,,,,,
Image_539.jpg,In what way does he look relaxed?,He looks relaxed and carefree.,,,,,
Image_543.jpg,How does she appear while listening?,She appears calm and engaged.,,,,,
Image_543.jpg,Is she on a phone call?,"Yes, she talks on a phone.",,,,,
Image_554.jpg,Is she chatting on a landline phone?,"No, she calls on a landline phone.",,,,,
Image_554.jpg,To what extent does she feel relaxed?,She feels very relaxed.,,,,,
Image_571.jpg,What beverage is he drinking outdoors?,He drinks a bottled of beer.,,,,,
Image_571.jpg,How does he appear while drinking?,He appears sad and upset.,,,,,
Image_591.jpg,Is she texting while on a phone call?,"Yes, she texts on the phone.",,,,,
Image_591.jpg,In what manner does she seem sad?,She seems sad and thoughtful.,,,,,
Image_599.jpg,What activity is she enjoying in the field?,She listens to music.,,,,,
Image_599.jpg,With what intensity does she feel happy?,Her mood is intensely happy.,,,,,
Image_622.jpg,Is she talking to a friend on the phone?,"Yes, she talks on the phone.",,,,,
Image_622.jpg,How does she look while talking?,She looks joyful and excited.,,,,,
Image_626.jpg,What beverage is she drinking in the room?,She drinks a glass of wine.,,,,,
Image_626.jpg,To what extent does she feel content?,She feels very content.,,,,,
Image_631.jpg,What beverage is he drinking from a cup?,He drinks tea from a cup.,,,,,
Image_631.jpg,How does he appear while drinking?,He appears calm and satisfied.,,,,,
Image_643.jpg,Is he playing a game on the tablet?,"Yes, he plays on a tablet.",,,,,
Image_643.jpg,What emotion does he express while using?,He expresses focused attention.,,,,,
Image_650.jpg,Is she calling for help near the motorcycle?,"Yes, she calls for help near the motorcycle.",,,,,
Image_650.jpg,In what manner does she seem stressed?,She seems stressed and concerned.,,,,,
Image_656.jpg,What beverage is he sipping from a glass?,He sips tea from a glass.,,,,,
Image_656.jpg,With what intensity does he feel happy?,He feels slightly happy.,,,,,
Image_667.jpg,Is he using a laptop on the couch?,"Yes, he uses a laptop.",,,,,
Image_667.jpg,To what extent does he feel focused?,He feels very focused.,,,,,
Image_676.jpg,What activity is he doing with his phone?,He plays games his phone.,,,,,
Image_676.jpg,How does he appear while checking?,He appears sleepy and tired.,,,,,
Image_680.jpg,Is she using her phone in the park?,"Yes, she uses her phone.",,,,,
Image_680.jpg,In what manner does she look engaged?,She looks engaged and focused.,,,,,
Image_681.jpg,What beverage is she drinking outdoors?,She drinks bottle of water.,,,,,
Image_681.jpg,With what intensity does she feel refreshed?,Her mood is intensely refreshed.,,,,,
Image_692.jpg,Is he drinking a glass of water?,"No, he drinks red wine.",,,,,
Image_692.jpg,To what extent does he appear relaxed?,He appears very relaxed and content.,,,,,
Image_693.jpg,What activity is she doing with headphones?,She listens to music.,,,,,
Image_693.jpg,In what manner does she express joy?,She expresses joy and energy.,,,,,
Image_700.jpg,What is she doing?,She drinks water from a glass cup.,,,,,
Image_700.jpg,How does she look while drinking?,She looks refreshed and calm.,,,,,
Image_701.jpg,What activity is he performing on the phone?,He calls with his partners,,,,,
Image_701.jpg,What emotion does he express while calling?,He feels intensely happy.,,,,,
Image_704.jpg,What task is he performing on the phone?,He talks on the phone.,,,,,
Image_704.jpg,To what extent does he seem engaged?,He seems moderately engaged.,,,,,
Image_705.jpg,Is he playing a game on his laptop?,"No, he works on his laptop.",,,,,
Image_705.jpg,How does he appear while working?,He appears calm and focused.,,,,,
Image_707.jpg,Is he listening to music with headphones?,"Yes, he listens to music.",,,,,
Image_707.jpg,To what extent does he feel relaxed?,He feels very relaxed.,,,,,
Image_708.jpg,Is she working while sitting on table?,"No, she sits on the floor while working.",,,,,
Image_708.jpg,How does she appear while working?,She appears happy and content.,,,,,
Image_712.jpg,Is he checking messages on his phone?,"Yes, he checks his phone.",,,,,
Image_712.jpg,In what manner does he look engaged?,He looks engaged and attentive.,,,,,
Image_719.jpg,What beverage is she drinking outdoors?,She drinks from a bottle.,,,,,
Image_719.jpg,With what intensity does she feel refreshed?,Her mood is intensely refreshed.,,,,,
Image_722.jpg,Is he sipping water from a glass?,"No, he works on his computer.",,,,,
Image_722.jpg,How does he seem while working?,He appears very relaxed.,,,,,
Image_729.jpg,What is he doing?,He has a phone call.,,,,,
Image_729.jpg,To what extent does he appear when called?,He seems content and refreshed.,,,,,
Image_731.jpg,Is she dancing to music with headphones?,"Yes, she enjoys music loudly.",,,,,
Image_731.jpg,In what manner does she express joy?,She expresses joy and energy.,,,,,
Image_742.jpg,Is he on a phone call?,"Yes, he speaks on a phone.",,,,,
Image_742.jpg,How does he appear while talking?,He appears angry and disappointed.,,,,,
Image_745.jpg,What task is he performing on the phone?,He uses phone while leaning on wall.,,,,,
Image_745.jpg,How does he look while talking?,He looks cheerful and engaged.,,,,,
Image_746.jpg,What beverage is she drinking outdoors?,She drinks in a glass veranda.,,,,,
Image_746.jpg,To what extent does she feel refreshed?,She feels moderately refreshed.,,,,,
Image_747.jpg,Is he talking on the phone indoors?,"Yes, he talks on the phone.",,,,,
Image_747.jpg,To what extent does he appear happy?,He appears very happy.,,,,,
Image_754.jpg,Is he reading book and listening music?,"Yes, he read book while listening music.",,,,,
Image_754.jpg,How does he look while reading?,He looks focused and calm.,,,,,
Image_764.jpg,Does he engage in typing on a laptop?,"Yes, he types on a laptop.",,,,,
Image_764.jpg,In what manner does he express thoughtfulness?,He expresses thoughtful focus.,,,,,
Image_766.jpg,What activity is she doing with books?,She holds books with headphones.,,,,,
Image_766.jpg,With what intensity does she feel happy?,She feels very happy.,,,,,
Image_768.jpg,What task is he performing on a bench?,He makes a phone call.,,,,,
Image_768.jpg,Does he seem disappointed during the call?,"No, he seems relaxed and happy.",,,,,
Image_790.jpg,How does he relax with music?,He lounges with black headphones.,,,,,
Image_790.jpg,To what extent does he look relaxed?,He looks very relaxed.,,,,,
Image_794.jpg,Is she studying on the bed with a laptop?,"Yes, she studies on the bed.",,,,,
Image_794.jpg,How does her mood appear while studying?,Her mood appears very happy.,,,,,
Image_797.jpg,What task is he performing with headphones?,He listens to music.,,,,,
Image_797.jpg,With what intensity does he feel happy?,He feels intensely happy.,,,,,
Image_809.jpg,Is she gesturing during her phone call?,Is she gesturing during her phone call?,,,,,
Image_809.jpg,In what manner does she look engaged?,She looks engaged and focused.,,,,,
Image_819.jpg,What task is he doing on the laptop?,He works on the laptop.,,,,,
Image_819.jpg,Does he appear attentive while working?,"No, he appears thoughtful.",,,,,
Image_826.jpg,In what manner is she using her phone?,She uses her phone with headphones.,,,,,
Image_826.jpg,Does she exhibit relaxation while using?,"Yes, she exhibits relaxation.",,,,,
Image_834.jpg,Does he engage in listening with earbuds?,"Yes, he listens with earbuds.",,,,,
Image_834.jpg,How strongly does he convey focus?,He conveys focus strongly.,,,,,
Image_838.jpg,What activity does he undertake on the couch?,He drinks beer with snacks.,,,,,
Image_838.jpg,In what way does he reflect contentment?,He reflects contentment lazily.,,,,,
Image_839.jpg,Can he be seen talking on the phone?,"Yes, he talks on the phone.",,,,,
Image_839.jpg,What emotion does he display while talking?,He displays moderate focus.,,,,,
Image_844.jpg,Is she performing reading with papers?,"Yes, she reads with papers.",,,,,
Image_844.jpg,How strongly does she convey concern?,She conveys concern deeply.,,,,,
Image_854.jpg,What activity does she undertake outdoors?,She drinks water from a bottle.,,,,,
Image_854.jpg,In what way does she look refreshed?,She looks refreshed calmly.,,,,,
Image_859.jpg,Does he engage in working on a laptop?,"Yes, he works on a laptop.",,,,,
Image_859.jpg,What emotion does he express while working?,He expresses focused attention.,,,,,
Image_860.jpg,In what manner is she using the phone?,She talks on the phone indoors.,,,,,
Image_860.jpg,Does she exhibit engagement while talking?,"Yes, she exhibits engagement.",,,,,
Image_867.jpg,Is she performing gesturing at the desk?,"Yes, she gestures at the desk.",,,,,
Image_867.jpg,How strongly does she convey focus?,Her mood is intensely focused.,,,,,
Image_869.jpg,Can she be seen taking a selfie?,"Yes, she takes a selfie.",,,,,
Image_869.jpg,In what way does she reflect joy?,She reflects joy brightly.,,,,,
Image_874.jpg,Does he engage in drinking beer outdoors?,"Yes, he drinks beer outdoors.",,,,,
Image_874.jpg,How strongly does he convey happiness?,He conveys happiness brightly.,,,,,
Image_887.jpg,What activity does she undertake outdoors?,She listens to music with headphones.,,,,,
Image_887.jpg,Does she exhibit calmness while listening?,"Yes, she exhibits calmness.",,,,,
Image_889.jpg,Can she be seen talking on the phone?,"Yes, she talks on the phone.",,,,,
Image_889.jpg,How does she appear emotionally while talking?,She appears content professionally.,,,,,
Image_890.jpg,In what manner is he using a laptop?,He uses a laptop with a drink.,,,,,
Image_890.jpg,What emotion does he display while working?,He displays relaxed focus.,,,,,
Image_891.jpg,What task is he completing with a glass?,He drinks water from a glass.,,,,,
Image_891.jpg,Does he exhibit refreshment while drinking?,"Yes, he exhibits refreshment.",,,,,
Image_893.jpg,Is he performing a thumbs-up gesture?,"Yes, he performs a thumbs-up.",,,,,
Image_893.jpg,How strongly does he convey happiness?,He conveys happiness strongly.,,,,,
Image_894.jpg,What activity does he undertake on the bed?,He uses a laptop on the bed.,,,,,
Image_894.jpg,In what way does he reflect relaxation?,He reflects relaxation comfortably.,,,,,
Image_897.jpg,Can he be seen using a laptop outdoors?,"Yes, he uses a laptop outdoors.",,,,,
Image_897.jpg,What emotion does he display while working?,He displays focused contentment.,,,,,
Image_899.jpg,In what manner is she using her phone?,She uses her phone with a drink.,,,,,
Image_899.jpg,Does she exhibit focus while using her phone?,"No, she exhibits distraction.",,,,,
Image_909.jpg,What task is she completing on the floor?,She uses a laptop on the floor.,,,,,
Image_909.jpg,How does she appear emotionally while working?,She appears relaxed casually.,,,,,
Image_926.jpg,What activity does she undertake with wine?,She drinks wine at a table.,,,,,
Image_926.jpg,How strongly does she convey relaxation?,She conveys relaxation deeply.,,,,,
Image_930.jpg,Is he performing a phone call outdoors?,"Yes, he performs a phone call.",,,,,
Image_930.jpg,In what way does he reflect happiness?,He reflects happiness warmly.,,,,,
Image_935.jpg,In what manner is he using the phone?,He uses the phone indoors.,,,,,
Image_935.jpg,Does he exhibit joy while talking?,"Yes, he exhibits joy.",,,,,
Image_941.jpg,Can he be seen using a laptop on the bed?,"Yes, he uses a laptop.",,,,,
Image_941.jpg,How does he appear emotionally while using?,He appears relaxed and content.,,,,,
Image_957.jpg,How is she using a laptop?,She types with focused gaze.,,,,,
Image_957.jpg,What emotion does she display while working?,She looks refreshed cheerfully.,,,,,
Image_964.jpg,She reflects concentration steadily.,She listens with headphones.,,,,,
Image_964.jpg,Does she exhibit relaxation while listening?,"Yes, she exhibits relaxation.",,,,,
Image_965.jpg,Is he performing drinking from a glass?,"No, he talks on the phone.",,,,,
Image_965.jpg,In what way does he look refreshed?,He looks refreshed cheerfully.,,,,,
Image_968.jpg,Does she engage in using a laptop?,"Yes, she engages in using a laptop.",,,,,
Image_968.jpg,How strongly does she convey focus?,Her mood is intensely happy.,,,,,
Image_974.jpg,Is he performing a phone call at a desk?,"Yes, he performs a phone call.",,,,,
Image_974.jpg,How does he appear emotionally while calling?,He appears cheerful and engaged.,,,,,
Image_975.jpg,What task is she completing on a laptop?,She works on a laptop.,,,,,
Image_975.jpg,In what way does she reflect concentration?,She reflects concentration steadily.,,,,,
Image_982.jpg,What activity does she undertake with headphones?,She listens to music with headphones.,,,,,
Image_982.jpg,How does she enjoy her music?,She listens with eyes closed.,,,,,
Image_983.jpg,Can she be seen making a phone call?,"Yes, she makes a phone call.",,,,,
Image_983.jpg,In what way does she reflect joy?,She reflects joy brightly.,,,,,
Image_984.jpg,In what manner is he using the phone?,He uses the phone with a smile.,,,,,
Image_984.jpg,Does he exhibit happiness while talking?,"Yes, he exhibits happiness.",,,,,
Image_988.jpg,Does he engage in listening with headphones?,"Yes, he listens with headphones.",,,,,
Image_988.jpg,How strongly does he convey happiness?,He conveys happiness brightly.,,,,,
Image_991.jpg,What task is he completing by the sea?,He uses his phone on rocks.,,,,,
Image_991.jpg,In what way does he reflect focus?,He reflects focus quietly.,,,,,
Image_994.jpg,What task is he completing with a laptop?,He uses a laptop with a phone.,,,,,
Image_994.jpg,Does he exhibit distraction while using?,"No, he exhibits focus.",,,,,
Image_998.jpg,Is she making a purchase?,"Yes, she makes a purchase.",,,,,
Image_998.jpg,What emotion does she display while purchasing?,Her mood is calm concentration.,,,,,
Image_1007.jpg,Is he working on a laptop?,"Yes, he works on a laptop",,,,,
Image_1007.jpg,For what purpose does he focus on work?,He focuses to finish a task.,,,,,
Image_1008.jpg,Is she talking on the phone?,"Yes, she talks on the phone.",,,,,
Image_1008.jpg,How does she appear emotionally while calling?,She appears cheerful and content.,,,,,
Image_1010.jpg,Does he engage in gesturing with his phone?,"Yes, he gestures with his phone.",,,,,
Image_1010.jpg,What emotion does he display while gesturing?,He displays amused frustration.,,,,,
Image_1015.jpg,What activity does she undertake with a laptop?,She holds a laptop indoors.,,,,,
Image_1015.jpg,How strongly does she convey confidence?,She conveys confidence brightly.,,,,,
Image_1023.jpg,Is he performing listening with headphones?,"Yes, he listens with headphones.",,,,,
Image_1023.jpg,In what way does he reflect enjoyment?,He reflects enjoyment warmly.,,,,,
Image_1024.jpg,In what manner is she using a laptop?,She uses a laptop at night.,,,,,
Image_1024.jpg,Does she exhibit focus while working?,"Yes, she exhibits focus.",,,,,
Image_1029.jpg,What activity does he undertake with headphones?,He listens with headphones.,,,,,
Image_1029.jpg,How strongly does he convey excitement?,He conveys excitement intensely.,,,,,
Image_1038.jpg,What task is she completing with a laptop?,She works on a laptop outdoors.,,,,,
Image_1038.jpg,How does she appear emotionally while using?,He appears thoughtful and calm.,,,,,
Image_1046.jpg,He displays curious attention.,She listens with headphones indoors.,,,,,
Image_1046.jpg,In what way does she reflect calmness?,She reflects calmness thoughtfully.,,,,,
Image_1073.jpg,What activity does she undertake with a laptop?,She uses a laptop with earbuds.,,,,,
Image_1073.jpg,What emotion does she display while using?,Her mood is calm concentration.,,,,,
Image_1076.jpg,What task is she completing with headphones?,She listens with headphones.,,,,,
Image_1076.jpg,Does she exhibit relaxation while listening?,"Yes, she exhibits relaxation.",,,,,
Image_1079.jpg,In what manner is she using a phone?,She uses a phone with headphones.,,,,,
Image_1079.jpg,How does she appear emotionally while using?,She appears joyful and engaged.,,,,,
Image_1086.jpg,Is he performing using a phone outdoors?,"Yes, he uses a phone.",,,,,
Image_1086.jpg,What emotion does he display while using?,He displays curious attention.,,,,,
Image_1123.jpg,Is he performing a phone call outdoors?,"Yes, he performs a phone call.",,,,,
Image_1123.jpg,In what way does he reflect happiness?,He reflects happiness warmly.,,,,,
Image_1130.jpg,What task is he completing with a tablet?,He uses a tablet indoors.,,,,,
Image_1130.jpg,How strongly does he convey enjoyment?,He conveys enjoyment brightly.,,,,,
Image_1131.jpg,What activity does she undertake with a drink?,She drinks whiskey at a bar.,,,,,
